Modelo;Precio_Euros
Taquitos de chorizo Dia Nuestra Alacena bandeja 2 x 50 g;1.19
Chorizo extra dulce Dia Nuestra Alacena bolsa 270 g;2.40
Chorizo oreado Selección de Dia 340 g;2.69
Chorizo extra Dia Nuestra Alacena bandeja 2 x 100 g;1.75
Chorizo extra picante Dia Nuestra Alacena bolsa 270 g;2.40
Chorizo de pamplona extra Dia Nuestra Alacena bandeja 2 x 100 g;1.85
Chorizo de León dulce Dia Nuestra Alacena bolsa 250 g;2.99
Chorizo ibérico extra Dia Nuestra Alacena bandeja 2 x 60 g;2.21
Chorizo de León picante Dia Nuestra Alacena bolsa 250 g;2.99
Chorizo Revilla sobre 65 g;1.00
Chorizo y salchichón extra Dia Nuestra Alacena bandeja 2 x 100 g;2.39
Callos con chorizo Dia Al punto 380 g;2.45
Chorizo de león dulce Dia Nuestra Alacena bandeja 100 g;1.99
Migas con chorizo Dia Al punto 250 g;1.89
Chorizo dulce Palacios bolsa 250 g;3.99
Chorizo de león picante Dia Nuestra Alacena bandeja 100 g;1.99
Lentejas con chorizo Dia Al punto 430 g;1.35
Chorizo de pavo extra Dia Nuestra Alacena bandeja 2 x 60 g;2.35
Callos a la madrileña Litoral 380 g;4.99
Chorizo ibérico extra Dia Nuestra Alacena sobre 90 g;2.59
Chorizo picante extra Revilla bandeja 65 g;1.00
Chorizo extra cortado España e hijos sobre 200 g;2.99
Lentejas a la riojana Litoral 430 g;2.29
Chorizo ibérico extra Villar 90 g;2.49
Chorizo ibérico gran selección Navidul sobre 100 g;1.89
